,Pollutant,Symbol,State,CAV_adoption,Year,Concern,Total Emmisions,UOM
Pollutant,Nickel,Ni,MA,Top,2011.0,Health,219.16477547272285,LB
Pollutant,Nitrogen Oxides,NOx,MA,Top,2011.0,Health,60818.863531767,TON
Pollutant,Nitrous Oxide,N2O,MA,Top,2011.0,GHG,1070.25467538686,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,MA,Top,2011.0,Health,5861.3824260332,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,MA,Top,2011.0,Health,2615.75824101357,TON
Pollutant,Sulfur Dioxide,SO2,MA,Top,2011.0,Health,524.45000295854,TON
Pollutant,Volatile Organic Compounds,VOC,MA,Top,2011.0,Health,34311.396383439,TON
Pollutant,Carbon Dioxide,CO2,MD,Top,2011.0,GHG,30521013.08487,TON
Pollutant,Carbon Monoxide,CO,MD,Top,2011.0,GHG,369069.397945,TON
Pollutant,Chromium (VI),Cr VI,MD,Top,2011.0,Health,1.49527336711592,LB
Pollutant,Manganese,Mn,MD,Top,2011.0,Health,193.230920980128,LB
Pollutant,Mercury,Hg,MD,Top,2011.0,Health,13.953751731507,LB
Pollutant,Methane,CH4,MD,Top,2011.0,GHG,1328.348555801,TON
Pollutant,Nickel,Ni,MD,Top,2011.0,Health,241.863781383374,LB
Pollutant,Nitrogen Oxides,NOx,MD,Top,2011.0,Health,81571.87412887,TON
Pollutant,Nitrous Oxide,N2O,MD,Top,2011.0,GHG,1005.6521192149,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,MD,Top,2011.0,Health,5533.881117717,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,MD,Top,2011.0,Health,2810.7775023023,TON
Pollutant,Sulfur Dioxide,SO2,MD,Top,2011.0,Health,545.4880303327,TON
Pollutant,Volatile Organic Compounds,VOC,MD,Top,2011.0,Health,36718.94481265,TON
Pollutant,Carbon Dioxide,CO2,VA,Top,2011.0,GHG,40902090.22059529,TON
Pollutant,Carbon Monoxide,CO,VA,Top,2011.0,GHG,566930.147371022,TON
Pollutant,Chromium (VI),Cr VI,VA,Top,2011.0,Health,2.245118040627291,LB
